image,anwser
motorbike_0687.jpg,The motorcycle is parked on the side of the road.
cat_0629.jpg,The kitten is black and white.
car_0889.jpg,The car is parked in front of a building.
fruit_0442.jpg,The picture is of a lemon.
dog_0362.jpg,The dog is black and white with a pink collar.
cat_0688.jpg,The woman is holding the cat.
cat_0572.jpg,The cat is looking at the camera.
cat_0074.jpg,The cat is sitting on the floor.
fruit_0791.jpg,The fruit is a mango.
dog_0245.jpg,The dog is standing in front of a chain link fence.
dog_0282.jpg,The dog is standing in front of a wall.
fruit_0053.jpg,The picture is of a potato.
airplane_0568.jpg,The picture is of a plane flying in the sky with the word futura written on it.
dog_0295.jpg,The dog is sitting on the floor.
person_0485.jpg,the woman is holding a microphone in front of her face
dog_0037.jpg,The dog is sitting on the grass.
dog_0526.jpg,The man is holding the dog.
fruit_0388.jpg,The picture is of an orange.
person_0395.jpg,The man is speaking into a microphone. The man is wearing sunglasses. The man is wearing a suit. The man is wearing a tie. The
cat_0419.jpg,The cat is looking at the camera.
flower_0555.jpg,The picture is of a daisy.
person_0477.jpg,the woman is smiling
fruit_0180.jpg,An apple on a stick.
motorbike_0242.jpg,The motorcycle is parked on the side of the road.
motorbike_0020.jpg,The motorcycle is parked on the side of the road.
fruit_0501.jpg,The picture is of an apple.
person_0797.jpg,A man in a suit and tie is standing next to a man in a military uniform
car_0577.jpg,aston martin vantage
flower_0286.jpg,The picture is of a yellow tulip.
flower_0784.jpg,The picture is of a flower.
person_0326.jpg,a man in a suit and tie is speaking into a microphone
cat_0183.jpg,The cat is sitting in a blue tub.
person_0721.jpg,the man is smiling
cat_0179.jpg,The cat is sitting in the cat bed. The cat is black and white. The cat has green eyes. The cat is sitting in the cat
motorbike_0733.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
cat_0579.jpg,The kitten has blue eyes.
cat_0568.jpg,The cat is looking at the camera.
person_0134.jpg,The woman in the blue shirt is looking at the basketball player on the court.
motorbike_0397.jpg,The motorcycle is parked on the side of the road.
person_0632.jpg,The man is wearing sunglasses
person_0865.jpg,Arnold Schwarzenegger
dog_0067.jpg,The dog on the left is looking at the dog on the right. The dog on the right is looking at the dog on the left.
flower_0091.jpg,The image is of a flower.
dog_0123.jpg,The woman is holding the dog by the scruff of the neck.
flower_0394.jpg,This is a picture of a flower.
car_0309.jpg,1998 honda civic coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe cou
cat_0042.jpg,The cat is in the cat box.
person_0663.jpg,The woman in the yellow shirt is looking at the camera.
flower_0516.jpg,The picture is of a vase of flowers.
fruit_0074.jpg,The ball is brown and has a hole in the middle.
person_0109.jpg,The man is wearing a suit and tie and has a microphone in front of him
motorbike_0421.jpg,The motorcycle is parked on the side of the road.
motorbike_0757.jpg,The motorcycle is parked on the side of the road.
cat_0293.jpg,The cat is looking at the camera.
fruit_0531.jpg,The picture is of an apple.
fruit_0909.jpg,An apple.
cat_0416.jpg,The cat is looking at the camera.
car_0602.jpg,aston martin vantage
airplane_0215.jpg,The picture shows a plane parked on the tarmac.
car_0133.jpg,2007 mazda mx-5
motorbike_0095.jpg,The man is sitting on a motorcycle.
fruit_0039.jpg,The lemon is yellow.
airplane_0044.jpg,The plane is parked on the side of the road.
motorbike_0197.jpg,The motorcycle is parked in the parking lot.
fruit_0243.jpg,The coconut is brown and has brown spots on it. The coconut has brown spots on it. The coconut has brown spots on it. The coconut
fruit_0309.jpg,The picture is of a red apple.
fruit_0083.jpg,The picture is of an orange.
airplane_0040.jpg,The picture is of a plane with the number 25 on it.
motorbike_0781.jpg,The motorcycle is parked on the side of the road.
motorbike_0002.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
person_0474.jpg,julia robertson
motorbike_0615.jpg,The motorcycle is parked on the side of the road.
airplane_0176.jpg,The image is of two jets flying over a mountain range.
flower_0533.jpg,The image is of a flower.
car_0957.jpg,audi tt coupe
fruit_0087.jpg,The raspberries are in the shape of a heart.
fruit_0081.jpg,The image is of a blueberry.
person_0783.jpg,a man in a suit and tie is looking at the camera
fruit_0714.jpg,The picture is of a green apple.
cat_0776.jpg,The cat is black and white.
fruit_0680.jpg,"The fruit is a walnut, and the stripes are on the outside of the fruit."
cat_0510.jpg,The cat is in the cat box.
fruit_0449.jpg,The picture is of an apple.
airplane_0036.jpg,The planes are in the air.
fruit_0195.jpg,The picture is of an orange.
dog_0365.jpg,The dog is black and white.
person_0335.jpg,the man is speaking into a microphone
car_0480.jpg,aston martin db11
car_0915.jpg,2012 audi a5 2.0t quattro
airplane_0659.jpg,The picture is of a plane on the runway.
flower_0694.jpg,A flower with pink petals and white stamens
car_0726.jpg,Aston Martin DB9
motorbike_0686.jpg,The motorcycle is parked on the side of the road.
car_0489.jpg,Aston Martin DB9
fruit_0806.jpg,The picture is of a pear.
cat_0166.jpg,The cat is looking at the camera.
fruit_0462.jpg,The image is of a fruit.
airplane_0217.jpg,The picture is of a plane flying in the sky.
airplane_0575.jpg,The picture is of an airplane parked on the tarmac at an airport.
airplane_0504.jpg,The airplane is flying in the sky.
motorbike_0087.jpg,the motorcycle is parked on the side of the road
fruit_0178.jpg,The picture is of an orange.
car_0615.jpg,aston martin vantage
flower_0692.jpg,This is a picture of a flower in a pot.
motorbike_0368.jpg,Ducati Multistrada 1200
dog_0109.jpg,The dog is standing in the grass.
person_0459.jpg,The woman is holding a tennis racket.
fruit_0186.jpg,The fruit is a lemon.
airplane_0256.jpg,"The sky is blue, the grass is green, the airplane is white, the sky is blue, the grass is green, the airplane is white"
cat_0528.jpg,The cat is sitting on the floor.
car_0000.jpg,The vehicle is parked in front of a house.
airplane_0642.jpg,The picture is of a mexican airplane.
dog_0417.jpg,The woman is holding the dog.
motorbike_0737.jpg,The man is sitting on the motorcycle.
dog_0040.jpg,The dog is standing in front of a chain link fence.
car_0890.jpg,The audi car is parked on the side of the road.
fruit_0999.jpg,The image is of a pear.
motorbike_0209.jpg,The bike is parked in front of a garage.
motorbike_0147.jpg,The motorcycle is parked on the side of the road.
person_0713.jpg,The man is holding a cell phone.
dog_0304.jpg,The dog is sitting in the grass.
motorbike_0707.jpg,Ducati Multistrada 1200
car_0887.jpg,audi a5 coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe coupe
fruit_0104.jpg,The ball is brown and has a hole in it.
motorbike_0564.jpg,The motorcycle is parked on the side of the road.
fruit_0908.jpg,The fruit is a pomegranate.
fruit_0405.jpg,An apple.
person_0557.jpg,The man in the red shirt is smiling and the man in the white shirt is hugging the man in the red shirt.
dog_0503.jpg,The dog on the left is the dog that is looking at the camera. The dog on the right is the dog that is looking at the camera
person_0117.jpg,the man is wearing a brown jacket and a white shirt with a blue tie
motorbike_0497.jpg,The motorcycle is parked on the side of the road.
fruit_0947.jpg,The picture shows an avocado.
airplane_0071.jpg,The picture is of an airplane parked on the tarmac of an airport.
fruit_0337.jpg,The raspberries are purple.
fruit_0416.jpg,The fruit is green.
motorbike_0388.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
dog_0624.jpg,The dog is looking at the camera.
person_0515.jpg,The man is holding a tennis racquet.
dog_0516.jpg,The dog is being held by a woman.
cat_0743.jpg,The cat is lying on the floor.
car_0680.jpg,Aston Martin DB9
airplane_0287.jpg,The picture is of an airplane parked on the tarmac of an airport.
fruit_0473.jpg,The fruit is a red apple.
flower_0211.jpg,The image is of a flower.
dog_0237.jpg,the dog is standing in the grass
car_0639.jpg,aston martin vanquish
flower_0492.jpg,A lotus flower.
fruit_0596.jpg,The image shows a fruit with a brown skin and a yellow core. The image shows a fruit with a brown skin and a yellow core.
fruit_0829.jpg,The picture is of an orange.
fruit_0085.jpg,The picture is of a lollipop with a lemon on top of it.
flower_0109.jpg,This is a picture of a bird.
person_0391.jpg,The man is wearing glasses and a yellow tie.
fruit_0350.jpg,Pear
dog_0450.jpg,The dog is wearing a red bandana.
flower_0032.jpg,The image is of a flower.
fruit_0757.jpg,The image is of a tomato.
dog_0599.jpg,The dog is looking at the camera.
airplane_0660.jpg,The sun country airplane is parked on the tarmac.
fruit_0964.jpg,The picture is of an avocado.
car_0212.jpg,Acura
person_0825.jpg,The man is looking at the camera.
airplane_0720.jpg,The plane is in the sky.
person_0950.jpg,The man in the blue shirt is wearing a tie. The man in the brown shirt is wearing a necktie. The man in the gray shirt
flower_0313.jpg,This is a picture of a flower.
fruit_0710.jpg,The picture is of an orange.
dog_0572.jpg,The dog is standing on the sidewalk.
flower_0282.jpg,The flowers are white and have green petals.
fruit_0617.jpg,The picture is of an orange.
cat_0725.jpg,The cat is looking at the camera.
fruit_0671.jpg,Pineapple
motorbike_0136.jpg,The picture shows a motorcycle parked in front of a building.
fruit_0310.jpg,This is a picture of a potato on a stick.
cat_0822.jpg,The cat is looking at the camera.
dog_0436.jpg,The dog is black and white.
motorbike_0343.jpg,The picture is of a motorcycle parked on the side of the road.
airplane_0466.jpg,The picture is of a plane flying in the sky.
person_0469.jpg,the woman is smiling with a medal around her neck
person_0201.jpg,The man on the left is wearing a st louis cardinals hat. The man on the right is wearing a st louis cardinals hat
car_0755.jpg,Aston Martin DB9
flower_0514.jpg,The image is of a flower.
cat_0856.jpg,The cat is sitting under the table.
airplane_0269.jpg,The picture shows a plane parked on the tarmac at an airport.
dog_0010.jpg,The dog is sitting on the floor.
cat_0494.jpg,The cat is looking at the camera.
car_0065.jpg,Acura
flower_0715.jpg,The picture is of a field of yellow tulips.
flower_0587.jpg,The image is of a vase with a red rose in it.
cat_0713.jpg,The cat is looking at the camera.
cat_0631.jpg,The cat is looking at the camera.
dog_0367.jpg,The dog is sitting in the grass.
flower_0605.jpg,This is a picture of a flower.
flower_0513.jpg,The picture is of a flower.
motorbike_0228.jpg,The motorcycle is parked on the side of the road.
airplane_0203.jpg,The picture is of an adria airplane.
person_0042.jpg,The man has a mustache.
person_0686.jpg,The man is looking at the camera.
car_0240.jpg,2007 acura tl
cat_0158.jpg,The cat is looking at the camera.
fruit_0712.jpg,The fruit is a dragon fruit.
person_0245.jpg,the man is wearing a brown jacket
fruit_0821.jpg,The image is of a pear.
cat_0639.jpg,The cat is looking at the camera.
dog_0127.jpg,The dog is sitting on the floor.
fruit_0629.jpg,The picture is of a nut.
flower_0073.jpg,The picture is of a vase of flowers.
fruit_0793.jpg,An apple.
person_0351.jpg,the man is wearing a white shirt
cat_0145.jpg,The cat is looking at the camera.
cat_0477.jpg,The cat is looking at the camera.
flower_0101.jpg,The image is of a flower.
motorbike_0302.jpg,The motorcycle is parked in front of the house.
fruit_0772.jpg,The picture is of an apple.
motorbike_0590.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
flower_0607.jpg,"red, white, and purple flowers in the garden"
motorbike_0726.jpg,The motorcycle is parked on the side of the road. The motorcycle is parked on the side of the road. The motorcycle is parked on the side
cat_0793.jpg,The cat is looking at the camera.
car_0544.jpg,Aston Martin DB9
cat_0465.jpg,The cat is looking at the camera.
dog_0235.jpg,The dog is looking at the camera.
airplane_0600.jpg,The picture is of an ethiopian airplane flying in the sky.
fruit_0169.jpg,The fruit is yellow and has brown spots on it.
airplane_0072.jpg,The picture shows a plane parked on the tarmac at an airport.
car_0293.jpg,The yellow car is parked in front of the red car.
airplane_0234.jpg,The picture is of an airplane parked on the tarmac of an airport.
fruit_0364.jpg,the fruit is yellow and the stem is brown
fruit_0078.jpg,The lemon is yellow.
motorbike_0411.jpg,The motorcycle is parked on the side of the road.
fruit_0830.jpg,This is a picture of a chocolate ball.
airplane_0489.jpg,The picture is of a plane flying in the sky.
person_0846.jpg,Arnold Schwarzenegger
car_0888.jpg,the audi car is parked on the side of the road
flower_0818.jpg,The picture is of a rhododendron flower.
fruit_0532.jpg,The apple is green and has brown spots on it.
cat_0638.jpg,The cat is in a cage.
dog_0180.jpg,The dog has a bandage on its leg.
dog_0541.jpg,"The dog on the left has blue eyes, the dog on the right has brown eyes, and the dog in the middle has brown eyes."
flower_0702.jpg,The image is of a green plant with yellow and white flowers.
cat_0464.jpg,The cat is black and white.
motorbike_0238.jpg,The motorcycle is parked on the side of the road.
cat_0047.jpg,The cat is sitting on the person's lap.
fruit_0842.jpg,The apple is in the shape of an apple.
person_0904.jpg,a man in glasses speaks into a microphone
fruit_0631.jpg,The picture is of a plum.
person_0315.jpg,the man has a mustache
dog_0027.jpg,The boy is holding the dog.
dog_0634.jpg,The dog is looking at the camera.
motorbike_0056.jpg,The blue motorcycle is parked on the side of the road.
airplane_0556.jpg,The picture is of an airplane flying in the sky.
airplane_0160.jpg,The picture is of an airplane flying in the sky.
motorbike_0118.jpg,The picture is of a motorcycle parked in front of a building.
person_0894.jpg,The man is wearing a shirt with a microphone on it. The man is smiling. The man has a bald head. The man is wearing a
